Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 6 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southwest
Location name (ESRI Maps): Shaver Lake, California, USA
Station Name: -
Latitude: 37.4000°
Longitude: -119.2000°
Elevation (USGS): 7158.39 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.17,0.21,0.28,0.34,0.42,0.49,0.56,0.64,0.76,0.85
10-min:, 0.24,0.31,0.40,0.48,0.60,0.70,0.80,0.92,1.08,1.22
15-min:, 0.29,0.37,0.48,0.58,0.73,0.84,0.97,1.11,1.31,1.48
30-min:, 0.39,0.51,0.66,0.80,0.99,1.16,1.33,1.51,1.79,2.02
60-min:, 0.51,0.66,0.86,1.04,1.29,1.50,1.73,1.97,2.33,2.62
2-hr:, 0.76,0.96,1.24,1.49,1.84,2.13,2.45,2.79,3.29,3.71
3-hr:, 0.95,1.19,1.53,1.82,2.25,2.60,2.98,3.39,3.99,4.49
6-hr:, 1.41,1.76,2.24,2.66,3.26,3.76,4.29,4.87,5.70,6.39
12-hr:, 2.09,2.65,3.42,4.08,5.02,5.78,6.58,7.44,8.68,9.69
24-hr:, 2.89,3.79,4.99,6.01,7.44,8.58,9.78,11.06,12.88,14.36
2-day:, 3.85,5.13,6.87,8.32,10.37,12.00,13.71,15.54,18.13,20.23
3-day:, 4.42,5.97,8.04,9.78,12.22,14.16,16.20,18.38,21.45,23.94
4-day:, 4.87,6.58,8.87,10.80,13.49,15.63,17.87,20.25,23.60,26.30
7-day:, 5.89,7.89,10.56,12.79,15.89,18.35,20.91,23.62,27.41,30.45
10-day:, 6.67,8.88,11.83,14.27,17.66,20.33,23.09,26.00,30.05,33.29
20-day:, 8.72,11.60,15.35,18.40,22.53,25.71,28.95,32.29,36.86,40.43
30-day:, 10.72,14.23,18.73,22.33,27.12,30.74,34.38,38.08,43.05,46.89
45-day:, 13.38,17.66,23.05,27.27,32.77,36.84,40.86,44.89,50.19,54.20
60-day:, 15.92,20.87,26.99,31.72,37.79,42.20,46.50,50.75,56.26,60.36

Date/time (GMT):  Wed Jan 11 19:03:03 2017
pyRunTime:  0.0736939907074
